,Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
0,No Time to Die,1970-01-01 00:00:00.000002021,7.6,"107,163","Action, Adventure, Thriller",163.0,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
1,The Guilty,1970-01-01 00:00:00.000002021,6.3,"64,375","Crime, Drama, Thriller",90.0,Film,R,-,,,Severe,,Moderate
2,The Many Saints of Newark,1970-01-01 00:00:00.000002021,6.4,"27,145","Crime, Drama",120.0,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate
3,Venom: Let There Be Carnage,1970-01-01 00:00:00.000002021,6.4,"30,443","Action, Adventure, Sci-Fi",97.0,Film,PG-13,-,,Moderate,Moderate,Mild,Moderate
4,Dune,1970-01-01 00:00:00.000002021,8.3,"84,636","Action, Adventure, Drama",155.0,Film,PG-13,-,,Moderate,,Mild,Moderate
5,Ted Lasso,1970-01-01 00:00:00.000002021,8.8,"117,562","Comedy, Drama, Sport",30.0,Series,TV-MA,23,Mild,,Severe,Mild,
6,Free Guy,1970-01-01 00:00:00.000002021,7.3,"153,835","Action, Adventure, Comedy",115.0,Film,PG-13,-,Mild,Moderate,Moderate,,Mild
9,Sex Education,1970-01-01 00:00:00.000002021,8.3,"220,201","Comedy, Drama",45.0,Series,TV-MA,25,Severe,Mild,Severe,Moderate,Mild
10,The Walking Dead,1970-01-01 00:00:00.000002021,8.2,"906,327","Drama, Horror, Thriller",44.0,Series,TV-14,177,Mild,Severe,Moderate,Mild,Severe
11,The Chestnut Man,1970-01-01 00:00:00.000002021,7.9,"15,434","Crime, Drama, Mystery",50.0,Series,TV-MA,6,Mild,Moderate,Mild,,Moderate
13,The Sopranos,1970-01-01 00:00:00.000002021,9.2,"340,006","Crime, Drama",55.0,Series,TV-MA,86,Severe,Severe,Severe,Severe,Severe
15,American Horror Story,1970-01-01 00:00:00.000002021,8.0,"296,306","Drama, Horror, Thriller",60.0,Series,TV-MA,116,Severe,Severe,Severe,Severe,Severe
16,Seinfeld,1970-01-01 00:00:00.000002021,8.8,"272,028",Comedy,22.0,Series,TV-PG,174,Mild,Mild,Mild,Mild,
17,Grey's Anatomy,1970-01-01 00:00:00.000002021,7.5,"275,094","Drama, Romance",41.0,Series,TV-14,384,Moderate,Severe,Mild,Moderate,Moderate
18,Game of Thrones,1970-01-01 00:00:00.000002021,9.2,"1,885,776","Action, Adventure, Drama",57.0,Series,TV-MA,73,Severe,Severe,Severe,Moderate,Severe
19,Black Widow,1970-01-01 00:00:00.000002021,6.8,"246,603","Action, Adventure, Sci-Fi",134.0,Film,PG-13,-,,Moderate,Mild,Mild,Moderate
